period_start,period_type,product_id,product_name,category,profile_mean_quantity,seasonal_month_mean_quantity,overall_quantity,overall_transactions,predicted_movement_level,probability_fast_moving,probability_medium_moving,probability_slow_moving,movement_confidence,movement_score
2026-01-01,month,1567,Watawala Ayurvedic Tea 160g,Beverages,77.16666666666667,108.5,1852,685,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1568,Zesta Tea (BOPF)  50g,Beverages,7.576923076923077,21.0,197,62,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1569,Zesta Tea (BOPF) 100g,Beverages,55.083333333333336,79.0,1322,479,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1570,Zesta Tea (BOPF) 195g,Beverages,28.75,87.5,690,243,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1574,Dilmah Leaf-Tea (BOPF) 100g,Beverages,40.75,73.5,978,371,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1575,Dilmah Strong Tea 100g,Beverages,54.875,120.5,1317,462,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1583,Lipton Ceylonta Tea 100g,Beverages,8.041666666666666,15.5,193,77,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1584,Lipton Ceylonta Tea 200g,Beverages,46.208333333333336,31.0,1109,380,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1587,Harischandra Coffee 20g,Beverages,6.925925925925926,18.0,187,65,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1602,Godrej Hair Colour Shampoo 10ml,Personal Care,27.75,33.0,666,380,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1626,Ritzbury Milk Chocolate 45g,Dairy & Chilled,50.333333333333336,42.5,1208,617,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1635,Ritzbury  Chunky-Choc (Classic)200g,General Grocery,75.70833333333333,93.0,1817,954,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1639,MD Baking powder 50g,General Grocery,24.041666666666668,21.0,577,293,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1645,Motha Baking Powder 100g,General Grocery,36.75,20.5,882,457,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1647,Motha Cornflour 200g,General Grocery,40.291666666666664,42.0,967,222,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1653,Motha Wattalappan (Pudding mix)110g,Snacks & Confectionery,32.833333333333336,34.0,788,261,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1655,Motha Icing Sugar 250g,Staples & Dry Groceries,109.29166666666667,42.0,2623,579,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1656,Motha Icing Sugar 500g,Staples & Dry Groceries,106.70833333333333,50.0,2561,566,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1657,Motha Icing Sugar 1kg,Staples & Dry Groceries,118.83333333333333,97.0,2852,683,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1661,Motha Jelly (Strawberry) 200g,Snacks & Confectionery,38.291666666666664,39.5,919,311,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1670,Delmege Colouring (egg yellow)28ml,"Meat, Fish & Frozen",29.583333333333332,46.5,710,371,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1689,Gold Hair Cream 100ml,Personal Care,29.583333333333332,47.0,710,403,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1704,Kumarika Hair Oil 100ml,Personal Care,7.3478260869565215,18.5,169,40,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1721,LankaSoy (polos curry)90g,Cooking Essentials,85.5,123.0,2052,481,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1789,Asiri Ddevilled Dhal 100g,Staples & Dry Groceries,70.0,139.0,1680,404,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1790,Asiri Rice Flour Savoury (Onion)25g,Staples & Dry Groceries,42.791666666666664,55.0,1027,242,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1791,Asiri Rice Flour Savoury (Onion)80g,Staples & Dry Groceries,62.833333333333336,36.5,1508,329,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1799,Asiri Sugar Candy 100g60,Staples & Dry Groceries,84.08333333333333,81.5,2018,494,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1807,Maliban Smart Cream Cracker 190g,Personal Care,28.541666666666668,47.0,685,417,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1808,Maliban Smart Cream Cracker 230g,Personal Care,33.916666666666664,52.0,814,476,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1815,SCAN Jumbo Peanut (Chilli)40g,Cooking Essentials,10.851851851851851,21.5,293,72,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1818,CBL Bran Cracker 160g,Snacks & Confectionery,54.541666666666664,107.5,1309,446,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1820,CBL Cheese Cracker 100g,Dairy & Chilled,17.416666666666668,22.0,418,216,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1822,CBL Sun Cracker 95g,Snacks & Confectionery,55.208333333333336,88.0,1325,488,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1823,CBL Sun Cracker (Salt & Pepper)95g,Staples & Dry Groceries,13.481481481481481,31.0,364,84,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1834,Maliban Ginger Biscuit 80g,Cooking Essentials,11.541666666666666,26.5,277,67,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1836,Maliban Ginger Biscuit 370g,Cooking Essentials,171.70833333333334,260.0,4121,955,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1850,CBL Hawaian Cookies 100g,General Grocery,16.375,29.5,393,201,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1852,CBL Ginger Biscuits 85g,Cooking Essentials,125.5,209.0,3012,703,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1853,CBL Ginger Biscuits 400g,Cooking Essentials,196.875,340.0,4725,1122,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1854,CBL Nice Biscuits  100g,Snacks & Confectionery,248.29166666666666,366.0,5959,2151,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1856,CBL Kalo Biscuits 90g,Snacks & Confectionery,8.407407407407407,18.0,227,80,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1870,Little Lion Choco Cookies 180g,General Grocery,34.416666666666664,60.5,826,421,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1878,Dettol Hand Wash (sensitive) 200ml,Cleaning & Household,45.291666666666664,83.5,1087,610,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1882,Dettol Hand Wash Refill (sensitive)175ml,Cleaning & Household,27.333333333333332,40.5,656,381,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1883,Dettol Hand Wash Refill (skincare)175ml,Cleaning & Household,17.541666666666668,19.0,421,246,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1891,Lifebuoy Hand Wash 200ml (Green Tea),Cleaning & Household,27.333333333333332,48.5,656,393,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1900,Sunlight Care Liquid (naturals)1L,Cleaning & Household,49.333333333333336,72.0,1184,711,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1904,Rin Lemon-Rose 200g,Cleaning & Household,49.666666666666664,66.5,1192,700,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1915,Sunlight 2in1 (Lemon) 1kg,Cleaning & Household,70.75,72.0,1698,952,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1926,Bubble Detergent Powder 500g,Cleaning & Household,51.75,81.0,1242,720,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1934,Diva Fresh (Jasmine) 400g,Cleaning & Household,26.666666666666668,40.0,640,372,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1937,Diva Fresh (Sepalika) 400g,Cleaning & Household,26.791666666666668,50.0,643,368,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1939,Diva Fresh (Purple lotus) 60g,Cleaning & Household,28.5,42.0,684,401,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1958,MD Tomato Sauce 400g,Cooking Essentials,6.6,16.5,198,48,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1967,Edinborough Mustard Cream165g,Cooking Essentials,86.70833333333333,86.0,2081,476,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1977,Edinborough Chilli Sauce230g,Cooking Essentials,75.08333333333333,143.0,1802,417,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1978,Edinborough B.B.Q Sauce350ml,General Grocery,27.166666666666668,25.5,652,329,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1996,KVC Tomato Sauce400g,General Grocery,29.333333333333332,40.0,704,358,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,1998,Crunchy Peanut Butter325g,General Grocery,51.0,63.0,1224,634,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2002,Ocean Star Canned Fish 425g,"Meat, Fish & Frozen",86.29166666666667,99.0,2071,1047,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2003,Ocean Star Canned Fish 155g,"Meat, Fish & Frozen",62.5,89.5,1500,789,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2006,Marina Sun Flower Oil 1L,Cooking Essentials,12.6,22.0,315,82,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2007,Marina Coconut Oil 200ml,Cooking Essentials,66.79166666666667,53.5,1603,347,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2008,Marina Coconut Oil 350ml,Cooking Essentials,196.125,296.5,4707,1104,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2009,Marina Coconut Oil 675ml,Cooking Essentials,86.95833333333333,45.0,2087,449,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2010,Marina Coconut Oil 500ml,Cooking Essentials,52.041666666666664,55.0,1249,282,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2012,Marina Vegetable Oil 500ml,Cooking Essentials,75.625,97.0,1815,443,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2013,Marina Coconut Milk 400ml,Dairy & Chilled,69.58333333333333,63.5,1670,398,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2014,Fortune Vegetable Oil 200ml,Cooking Essentials,11.478260869565217,17.0,264,55,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2016,Fortune Coconut Oil 675ml,Cooking Essentials,86.04166666666667,139.0,2065,483,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2017,Turkey Cooking Oil 1L,Cooking Essentials,40.125,29.5,963,242,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2018,Coopoliva Olive Oil 250ml,Cooking Essentials,19.91304347826087,17.5,458,108,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2019,Harischandra Noodles 400g,Staples & Dry Groceries,177.25,277.0,4254,1019,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2020,Harischandra Noodles 400g (2minutes),Staples & Dry Groceries,142.83333333333334,214.0,3428,804,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2029,Sera Regular Noodles 400g,Staples & Dry Groceries,61.083333333333336,74.0,1466,357,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2036,Prima Instant Noodles 345g,Staples & Dry Groceries,65.91666666666667,107.0,1582,386,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2045,Edinborough Tomato Sauce 405g,Cooking Essentials,180.25,316.0,4326,1039,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2046,Edinborough Tomato Sauce 375g,Cooking Essentials,170.625,292.0,4095,1018,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2047,Edinborough Chilli Sauce 405g,Cooking Essentials,67.79166666666667,98.0,1627,385,Fast Moving,1.0,0.0,0.0,1.0,1.0
