rule_id,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_items,consequent_items,all_items,rule_strength,antecedent_product_ids,consequent_product_ids,antecedent_product_names,consequent_product_names
3543,frozenset({'1335'}),"frozenset({'2048', '2141'})",0.019241208758067434,0.010676156583629894,0.010495204777127691,0.5454545454545454,51.090909090909086,1.0,0.010289782619568253,2.176512455516014,0.9996617466174663,0.5403726708074534,0.5405493786788751,0.7642526964560863,['1335'],"['2048', '2141']","['1335', '2048', '2141']",0.386314421827631,1335,"2048,2141",Teepol Dishwash Gel (Lime) 500ml,Edinborough Oyster Sauce 210g|Mini Chips (curry flavour)27g
3544,frozenset({'1335'}),"frozenset({'2048', '2204'})",0.019241208758067434,0.010676156583629894,0.010495204777127691,0.5454545454545454,51.090909090909086,1.0,0.010289782619568253,2.176512455516014,0.9996617466174663,0.5403726708074534,0.5405493786788751,0.7642526964560863,['1335'],"['2048', '2204']","['1335', '2048', '2204']",0.386314421827631,1335,"2048,2204",Teepol Dishwash Gel (Lime) 500ml,Edinborough Oyster Sauce 210g|Goraka Paste 100g
3545,"frozenset({'1644', '2056'})",frozenset({'1998'}),0.004644429700223174,0.03160624886905121,0.0038603052053803005,0.8311688311688312,26.297610786160405,1.0,0.0037135122044202338,5.735870679775622,0.9664623984971518,0.11918063314711358,0.8256585519743415,0.47665311787449194,"['1644', '2056']",['1998'],"['1644', '1998', '2056']",0.386011260285838,"1644,2056",1998,Motha Baking Powder 50g|Maggi Coconut Milk Powder 125g,Crunchy Peanut Butter325g
3546,"frozenset({'1644', '2056'})",frozenset({'1479'}),0.004644429700223174,0.09572350563966464,0.0038603052053803005,0.8311688311688312,8.683017045966006,1.0,0.0034157241127779616,5.356099235826604,0.8889613758938311,0.04,0.813296961842853,0.4357482467123299,"['1644', '2056']",['1479'],"['1479', '1644', '2056']",0.386011260285838,"1644,2056",1479,Motha Baking Powder 50g|Maggi Coconut Milk Powder 125g,White Sugar 1kg
3547,"frozenset({'2952', '1270'})",frozenset({'2055'}),0.003377767054707763,0.014596779057844261,0.003076180710537427,0.9107142857142857,62.39145513577331,1.0,0.0030268761911309925,11.036516074552141,0.9873070574232234,0.20647773279352227,0.9093916963247317,0.5607290436835891,"['1270', '2952']",['2055'],"['1270', '2055', '2952']",0.3858596795149415,"1270,2952",2055,Lifebuoy Turmeric 100g|Bun Talk Sugar Cookies,Maggi Coconut Milk Powder 25g
3548,"frozenset({'2055', '1270'})",frozenset({'2952'}),0.003377767054707763,0.01694915254237288,0.003076180710537427,0.9107142857142857,53.732142857142854,1.0,0.0030189304214745835,11.010169491525422,0.9847153047504784,0.17832167832167836,0.9091748768472906,0.546104473817997,"['1270', '2055']",['2952'],"['1270', '2055', '2952']",0.3858596795149415,"1270,2055",2952,Lifebuoy Turmeric 100g|Maggi Coconut Milk Powder 25g,Bun Talk Sugar Cookies
3549,"frozenset({'2952', '1270'})",frozenset({'2280'}),0.003377767054707763,0.055793473671512155,0.003076180710537427,0.9107142857142857,16.322953667953666,1.0,0.002887723353302088,10.575113094879063,0.9419181580518183,0.054838709677419356,0.9054383635401266,0.4829247104247104,"['1270', '2952']",['2280'],"['1270', '2280', '2952']",0.3858596795149415,"1270,2952",2280,Lifebuoy Turmeric 100g|Bun Talk Sugar Cookies,Araliya Premium Nadu Rice 1kg
3550,"frozenset({'2055', '1270'})",frozenset({'2280'}),0.003377767054707763,0.055793473671512155,0.003076180710537427,0.9107142857142857,16.322953667953666,1.0,0.002887723353302088,10.575113094879063,0.9419181580518183,0.054838709677419356,0.9054383635401266,0.4829247104247104,"['1270', '2055']",['2280'],"['1270', '2055', '2280']",0.3858596795149415,"1270,2055",2280,Lifebuoy Turmeric 100g|Maggi Coconut Milk Powder 25g,Araliya Premium Nadu Rice 1kg
3551,"frozenset({'2336', '1657'})",frozenset({'2861'}),0.0035587188612099642,0.05597442547801436,0.003136497979371494,0.8813559322033898,15.745689655172413,1.0,0.0029373007356774928,7.956786985256735,0.9398351648351649,0.05561497326203208,0.8743211296402785,0.46869520748100524,"['1657', '2336']",['2861'],"['1657', '2336', '2861']",0.3855456907752274,"1657,2336",2861,Motha Icing Sugar 1kg|White Rice Flour 400g,Coconut Milk 500ml
3552,frozenset({'2046'}),frozenset({'2059'}),0.048856987755594425,0.03546655407443151,0.011219012003136498,0.22962962962962966,6.474540186444949,1.0,0.00948622300498887,1.2520386076918437,0.8889818529209003,0.15346534653465346,0.20130258455566447,0.27297808012093727,['2046'],['2059'],"['2046', '2059']",0.3849718492854049,2046,2059,Edinborough Tomato Sauce 375g,Renuka Coconut Milk Powder 300g
3553,frozenset({'2047'}),frozenset({'2045'}),0.018457084263224562,0.049580794981603234,0.010314252970625491,0.5588235294117647,11.270967511092028,1.0,0.009399136059812378,2.154283531375033,0.9284122553664933,0.17868338557993732,0.535808548208266,0.38342636324602836,['2047'],['2045'],"['2045', '2047']",0.3848744045041143,2047,2045,Edinborough Chilli Sauce 405g,Edinborough Tomato Sauce 405g
3554,frozenset({'1098'}),frozenset({'1102'}),0.017371373424211353,0.01827613245672236,0.010072983895289222,0.5798611111111112,31.72778006967364,1.0,0.009755502373633148,2.3366650731608596,0.9856031598946849,0.39386792452830194,0.5720396510881736,0.5655081133113312,['1098'],['1102'],"['1098', '1102']",0.3847769597228237,1098,1102,Rathmal Baby Soap 75g,Baby Milk Soap 75g
3555,"frozenset({'2055', '2952'})",frozenset({'1270'}),0.00343808432354183,0.022920562156945535,0.003076180710537427,0.8947368421052632,39.03642659279778,1.0,0.0029973778850988664,9.282254659509018,0.9777444690501791,0.13212435233160622,0.8922675538775948,0.5144736842105263,"['2055', '2952']",['1270'],"['1270', '2055', '2952']",0.3847553053269813,"2055,2952",1270,Maggi Coconut Milk Powder 25g|Bun Talk Sugar Cookies,Lifebuoy Turmeric 100g
3556,"frozenset({'2055', '2952'})",frozenset({'2280'}),0.00343808432354183,0.055793473671512155,0.003076180710537427,0.8947368421052632,16.036586059743954,1.0,0.0028843580433514575,8.969962000120635,0.9408774041029074,0.05477980665950591,0.8885168075420441,0.47493598862019915,"['2055', '2952']",['2280'],"['2055', '2280', '2952']",0.3847553053269813,"2055,2952",2280,Maggi Coconut Milk Powder 25g|Bun Talk Sugar Cookies,Araliya Premium Nadu Rice 1kg
3557,frozenset({'2683'}),frozenset({'1060'}),0.017914228843717957,0.01803486338138609,0.010193618432957356,0.569023569023569,31.551310203484114,1.0,0.009870537763178016,2.2784659810603776,0.9859684597431804,0.3957845433255269,0.5611082156536702,0.5671204801639584,['2683'],['1060'],"['1060', '2683']",0.38436552620181896,2683,1060,Lifebuoy Shampoo 80ml,P.Baby Cologne (magic) 50ml
3558,"frozenset({'2055', '2280'})",frozenset({'2952'}),0.0034984015923758974,0.01694915254237288,0.003076180710537427,0.8793103448275862,51.87931034482759,1.0,0.003016885768293768,8.145278450363195,0.9841675063585147,0.17708333333333337,0.8772294887039239,0.5304025033746472,"['2055', '2280']",['2952'],"['2055', '2280', '2952']",0.3841706366392378,"2055,2280",2952,Maggi Coconut Milk Powder 25g|Araliya Premium Nadu Rice 1kg,Bun Talk Sugar Cookies
3559,"frozenset({'2055', '2280'})",frozenset({'1270'}),0.0034984015923758974,0.022920562156945535,0.003076180710537427,0.8793103448275862,38.363384754990925,1.0,0.002995995379389418,8.09580105641388,0.9773526503997882,0.13178294573643412,0.8764791781527596,0.5067604355716878,"['2055', '2280']",['1270'],"['1270', '2055', '2280']",0.3841706366392378,"2055,2280",1270,Maggi Coconut Milk Powder 25g|Araliya Premium Nadu Rice 1kg,Lifebuoy Turmeric 100g
3560,frozenset({'1878'}),frozenset({'2126'}),0.029193558115688523,0.018758670607394896,0.010796791121298027,0.36983471074380164,19.715400866307036,1.0,0.010249158780747987,1.5571173882820355,0.9778244050253297,0.29058441558441556,0.35778766101681136,0.4726987058542159,['1878'],['2126'],"['1878', '2126']",0.3839649198787354,1878,2126,Dettol Hand Wash (sensitive) 200ml,Sunlight 2in1 (Rose) 200g
3561,frozenset({'1288'}),"frozenset({'2514', '1188'})",0.030882441643042404,0.011580915616140901,0.010857108390132094,0.35156249999999994,30.357055664062496,1.0,0.010499461439443624,1.5243089494112525,0.9978755627476609,0.34351145038167935,0.3439650141880759,0.6445312499999999,['1288'],"['1188', '2514']","['1188', '1288', '2514']",0.3835643135556518,1288,"1188,2514",Senola Soap,Baby Diaper (Softlove) 4pcs /L|Pears Baby Oil (Olive Oil) 100ml
3562,"frozenset({'1270', '2280'})",frozenset({'2055'}),0.0036190361300440315,0.014596779057844261,0.003076180710537427,0.8500000000000001,58.23202479338843,1.0,0.0030233544397448185,6.569354806281042,0.9863971255915648,0.20318725099601595,0.8477780498255495,0.5303719008264464,"['1270', '2280']",['2055'],"['1270', '2055', '2280']",0.38313122563880464,"1270,2280",2055,Lifebuoy Turmeric 100g|Araliya Premium Nadu Rice 1kg,Maggi Coconut Milk Powder 25g
3563,"frozenset({'1270', '2280'})",frozenset({'2952'}),0.0036190361300440315,0.01694915254237288,0.003076180710537427,0.8500000000000001,50.150000000000006,1.0,0.003014841115112952,6.553672316384185,0.9836195753196854,0.1758620689655173,0.8474137931034483,0.5157473309608541,"['1270', '2280']",['2952'],"['1270', '2280', '2952']",0.38313122563880464,"1270,2280",2952,Lifebuoy Turmeric 100g|Araliya Premium Nadu Rice 1kg,Bun Talk Sugar Cookies
3564,"frozenset({'2205', '2344'})",frozenset({'1655'}),0.004825381506725375,0.02943482719102479,0.003920622474214368,0.8125000000000001,27.60335553278689,1.0,0.0037785882034331395,5.176347588314537,0.9684456400621017,0.12922465208747516,0.806813591448636,0.47284836065573776,"['2205', '2344']",['1655'],"['1655', '2205', '2344']",0.38307708964919873,"2205,2344",1655,Goraka Paste 250g|Coconut Oil 750ml (loose),Motha Icing Sugar 250g
