period_type,period_start,period_end,period_label,bundle_rank,bundle_id,product_count,product_ids,product_names,categories,movement_labels,fast_product_count,medium_product_count,slow_product_count,fp_growth_support,avg_pair_confidence,avg_pair_lift,graph_density,test_exact_support,test_attachment_rate,test_average_overlap,test_lift,seasonal_demand_score,period_bundle_score,normal_bundle_retail_price,estimated_bundle_cost,normal_bundle_profit,suggested_discount_pct,promo_bundle_price,promo_bundle_profit,promo_profit_margin,estimated_bundle_retail_price,estimated_bundle_profit,insight,source
month,2026-07-01,2026-07-31,July 2026,12,144,6,"1449,1478,1854,1993,2056,2378",Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Edinborough Lime Seasoning200ml|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Slow|Fast|Fast,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,0.8,0.0,0.03514150943396226,0.35283018867924526,0.0,0.004437026046818331,0.8648831648993117,1470.0,1314.51,155.49,0.0342,1419.67,105.16,0.0741,1419.67,105.16,5 fast + 0 medium + 1 slow products; seasonally ranked for July 2026.,adaptive_fp_growth_fast_slow
day,2027-07-15,2027-07-15,15 July 2027,1,2,6,"1451,1854,2019,2046,2069,2478",Sustagen 400g|CBL Nice Biscuits  100g|Harischandra Noodles 400g|Edinborough Tomato Sauce 375g|CocaCola 1.5L|Ritzbury Chocolate (Peanut) 45g,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.027741854357309276,0.7136255520272787,17.12537590606319,1.0,0.0,0.04929245283018868,0.3259433962264151,0.0,0.0038675663603879532,0.9060779209353323,4790.0,4331.05,458.95,0.0235,4677.53,346.48,0.0741,4677.53,346.48,5 fast + 0 medium + 1 slow products; seasonally ranked for 15 July 2027.,adaptive_fp_growth_fast_slow
day,2027-07-15,2027-07-15,15 July 2027,2,51,6,"1122,1449,1478,1854,2056,2378",Vaseline Sun+ 100ml|Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,1.0,0.0002358490566037736,0.03514150943396226,0.35259433962264153,291969.7369290208,0.0041682618683001535,0.8939783575093747,2190.0,1959.13,230.87,0.0339,2115.86,156.73,0.0741,2115.86,156.73,5 fast + 0 medium + 1 slow products; seasonally ranked for 15 July 2027.,adaptive_fp_growth_fast_slow
day,2027-07-15,2027-07-15,15 July 2027,3,47,6,"1449,1478,1854,2056,2378,2380",Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g|Red Bull 355ml,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,1.0,0.0002358490566037736,0.03514150943396226,0.3535377358490566,125129.8872552946,0.004255997958141909,0.8897464078238402,1750.0,1507.57,242.43,0.0653,1635.81,128.24,0.0784,1635.81,128.24,5 fast + 0 medium + 1 slow products; seasonally ranked for 15 July 2027.,adaptive_fp_growth_fast_slow
day,2027-07-15,2027-07-15,15 July 2027,4,75,6,"1478,2056,2114,2172,2280,2344",White Sugar 1kg (Pkt)|Maggi Coconut Milk Powder 125g|Kandos Choconuts 70g|Wijaya Curry Powder 250g|Araliya Premium Nadu Rice 1kg|Coconut Oil 750ml (loose),Cooking Essentials|Dairy & Chilled|General Grocery|Staples & Dry Groceries,Fast|Fast|Slow|Fast|Fast|Fast,5,0,1,0.01810088633781257,0.5166282143141184,11.994636998508588,0.8666666666666667,0.0,0.03349056603773585,0.27264150943396226,0.0,0.0045152182235834604,0.8893109629010406,1830.0,1687.0,143.0,0.0044,1821.96,134.96,0.0741,1821.96,134.96,5 fast + 0 medium + 1 slow products; seasonally ranked for 15 July 2027.,adaptive_fp_growth_fast_slow
day,2027-07-15,2027-07-15,15 July 2027,5,46,6,"1449,1478,1854,2056,2378,3019",Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g|Vaseline Kiss of Petals 100ml,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,1.0,0.0002358490566037736,0.03514150943396226,0.35400943396226414,97323.24564300693,0.004212129913221031,0.8890085697735256,1800.0,1618.52,181.48,0.0289,1748.0,129.48,0.0741,1748.0,129.48,5 fast + 0 medium + 1 slow products; seasonally ranked for 15 July 2027.,adaptive_fp_growth_fast_slow
day,2027-07-15,2027-07-15,15 July 2027,6,49,6,"1123,1449,1478,1854,2056,2378",Vaseline Cocoa 100ml|Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,1.0,0.0,0.03514150943396226,0.35283018867924526,0.0,0.0041682618683001535,0.8867113016917647,2020.0,1904.51,115.49,0.0,2020.0,115.49,0.0572,2020.0,115.49,5 fast + 0 medium + 1 slow products; seasonally ranked for 15 July 2027.,adaptive_fp_growth_fast_slow
day,2027-07-15,2027-07-15,15 July 2027,7,50,6,"1449,1478,1854,2056,2378,2865",Milo Drink 180ml|White Sugar 1kg (Pkt)|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g|Zero Cola 400ml,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029290265141753057,0.6546473770909531,12.722579070180304,1.0,0.0,0.03514150943396226,0.35306603773584905,0.0,0.004212129913221031,0.8702605194590604,1400.0,1276.51,123.49,0.0153,1378.63,102.12,0.0741,1378.63,102.12,5 fast + 0 medium + 1 slow products; seasonally ranked for 15 July 2027.,adaptive_fp_growth_fast_slow
day,2027-07-15,2027-07-15,15 July 2027,8,101,5,"1449,1854,2056,2378,3019",Milo Drink 180ml|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g|Vaseline Kiss of Petals 100ml,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery,Fast|Fast|Fast|Fast|Slow,4,0,1,0.032851800470474694,0.7150988600393362,14.24053789155454,1.0,0.0002358490566037736,0.034669811320754716,0.27900943396226413,7299.243423225519,0.004288859111791731,0.8692349012362641,1550.0,1388.52,161.48,0.0325,1499.6,111.08,0.0741,1499.6,111.08,4 fast + 0 medium + 1 slow products; seasonally ranked for 15 July 2027.,adaptive_fp_growth_fast_slow
day,2027-07-15,2027-07-15,15 July 2027,9,103,5,"1123,1449,1854,2056,2378",Vaseline Cocoa 100ml|Milo Drink 180ml|CBL Nice Biscuits  100g|Maggi Coconut Milk Powder 125g|Zesta Tea (BOPF) 390g,Beverages|Dairy & Chilled|General Grocery|Snacks & Confectionery,Slow|Fast|Fast|Fast|Fast,4,0,1,0.032851800470474694,0.7150988600393362,14.24053789155454,1.0,0.0,0.034669811320754716,0.2778301886792453,0.0,0.004242917304747321,0.8687684153872075,1770.0,1674.51,95.49,0.0,1770.0,95.49,0.0539,1770.0,95.49,4 fast + 0 medium + 1 slow products; seasonally ranked for 15 July 2027.,adaptive_fp_growth_fast_slow
